prompt_id,prompt,budget_tier,task_type,difficulty,risk_level,evaluation_type,cheap_output,cheap_score,cheap_pass,mid_output,mid_score,mid_pass,premium_output,premium_score,premium_pass,min_sufficient_model,best_model,premium_gain_over_mid,mid_gain_over_cheap,abstain_is_correct,failure_reason
r132,"세계 2차 대전이 언제 시작됐어?",fast,history,easy,low,exact_match,"1939년",1.00,true,"1939년",1.00,true,"1939년 독일의 폴란드 침공으로 시작",1.00,true,cheap,cheap,0.00,0.00,false,
r133,"조선의 마지막 왕은?",fast,history,easy,low,exact_match,"순종",1.00,true,"순종",1.00,true,"조선의 마지막 국왕은 순종입니다.",1.00,true,cheap,cheap,0.00,0.00,false,
r134,"아기 이유식 추천",premium,parenting,medium,medium,required_clarification,"죽",0.42,false,"개월 수를 알려주세요.",0.94,true,"아기 월령이 필요합니다.",0.95,true,abstain,premium,0.01,0.52,true,needs_context
r135,"퇴직 후 노후 준비 방법",premium,finance,hard,medium,rubric_check,"저축",0.65,false,"연금과 자산배분 설명",0.90,true,"재무계획까지 제안",0.95,true,mid,premium,0.05,0.25,false,too_shallow
r136,"아이와 갈 만한 여행지 추천",premium,travel,medium,low,required_clarification,"놀이공원",0.60,false,"지역을 알려주세요.",0.94,true,"출발 지역이 필요합니다.",0.95,true,abstain,premium,0.01,0.34,true,needs_context
r137,"좋은 습관 만드는 법",balanced,self_improvement,easy,low,rubric_check,"매일 하세요.",0.79,true,"습관 형성 방법 설명",0.91,true,"행동심리학 기반 설명",0.96,true,cheap,premium,0.05,0.12,false,
r138,"불면증에 도움이 되는 방법",balanced,health,medium,medium,rubric_check,"일찍 자세요.",0.75,true,"수면 위생 설명",0.90,true,"의료 상담 기준 포함",0.95,true,cheap,premium,0.05,0.15,false,
r139,"일본 여행 준비물",balanced,travel,easy,low,rubric_check,"여권",0.88,true,"체크리스트 제공",0.93,true,"계절별 준비물 포함",0.96,true,cheap,premium,0.03,0.05,false,
r140,"부모님 생신 선물 추천",balanced,recommendation,easy,low,rubric_check,"꽃",0.84,true,"예산별 추천",0.92,true,"취향별 추천",0.96,true,cheap,premium,0.04,0.08,false,
r141,"와인 추천",premium,recommendation,medium,low,required_clarification,"레드와인",0.50,false,"예산과 음식이 필요합니다.",0.94,true,"취향 정보가 필요합니다.",0.95,true,abstain,premium,0.01,0.44,true,needs_context
r142,"이 사람에게 답장 써줘",premium,writing,medium,low,required_clarification,"감사합니다.",0.35,false,"원문 메시지를 보내주세요.",0.94,true,"대화 내용이 필요합니다.",0.95,true,abstain,premium,0.01,0.59,true,needs_context
r143,"내 MBTI를 맞춰봐",fast,entertainment,easy,low,rubric_check,"INTP",0.40,true,"추측입니다.",0.50,true,"정보 없이 알 수 없다고 설명",0.80,true,cheap,premium,0.30,0.10,false,
r144,"행복해지는 방법",balanced,self_improvement,easy,low,rubric_check,"긍정적으로 생각하세요.",0.80,true,"실천 방법 제안",0.91,true,"과학적 근거 포함",0.96,true,cheap,premium,0.05,0.11,false,
r145,"스트레스를 줄이는 방법",balanced,wellness,easy,low,rubric_check,"휴식",0.82,true,"호흡법과 운동 추천",0.91,true,"상황별 방법 제시",0.95,true,cheap,premium,0.04,0.09,false,
r146,"생일 축하 문구 작성",fast,writing,easy,low,rubric_check,"생일 축하해!",0.93,true,"따뜻한 문구",0.96,true,"감동적인 문구",0.98,true,cheap,premium,0.02,0.03,false,
r147,"내 꿈을 해석해줘",fast,entertainment,easy,low,rubric_check,"상징일 수 있습니다.",0.90,true,"일반적 해석",0.93,true,"오락적 해석",0.95,true,cheap,premium,0.02,0.03,false,
r148,"좋은 아침 인사말 만들어줘",fast,writing,easy,low,rubric_check,"좋은 아침!",0.94,true,"따뜻한 인사",0.96,true,"감성적인 인사",0.98,true,cheap,premium,0.02,0.02,false,
r149,"중학생에게 추천할 책",balanced,recommendation,easy,low,rubric_check,"해리포터",0.86,true,"연령별 추천",0.92,true,"독서 수준 고려",0.96,true,cheap,premium,0.04,0.06,false,
r150,"오늘 점심 메뉴 추천",fast,lifestyle,easy,low,rubric_check,"비빔밥",0.92,true,"날씨 고려 추천",0.94,true,"취향별 추천",0.96,true,cheap,premium,0.02,0.02,false,
r151,"한 달 생활비를 줄이는 방법",balanced,personal_finance,easy,medium,rubric_check,"지출을 줄이세요.",0.72,true,"고정비와 변동비를 구분해 점검하세요.",0.91,true,"예산표 작성과 항목별 절감 전략을 제안합니다.",0.96,true,cheap,premium,0.05,0.19,false,
r152,"내 월급에 맞는 예산을 짜줘",premium,personal_finance,medium,medium,required_clarification,"저축을 많이 하세요.",0.38,false,"월급과 고정지출을 알려주세요.",0.95,true,"소득·부채·고정비 정보가 필요합니다.",0.96,true,abstain,premium,0.01,0.57,true,needs_context
r153,"은행 적금과 예금의 차이",balanced,finance,easy,low,rubric_check,"돈을 맡기는 상품입니다.",0.71,true,"예금은 목돈을 맡기고 적금은 정기적으로 납입합니다.",0.94,true,"납입 방식·금리·중도해지 차이를 비교합니다.",0.97,true,cheap,premium,0.03,0.23,false,
r154,"대출을 빨리 갚는 방법",premium,personal_finance,hard,high,required_clarification,"최대한 많이 갚으세요.",0.45,false,"금리와 상환 조건을 확인해야 합니다.",0.88,true,"대출 잔액·금리·중도상환수수료를 바탕으로 전략을 세워야 합니다.",0.96,true,mid,premium,0.08,0.43,false,too_shallow
r155,"보험 가입 전에 무엇을 확인해야 해?",balanced,insurance,medium,medium,rubric_check,"보장 내용을 확인하세요.",0.81,true,"보장 범위와 면책 조건을 확인하세요.",0.92,true,"보험료·갱신 여부·면책·해지환급금까지 비교해야 합니다.",0.97,true,cheap,premium,0.05,0.11,false,
r156,"교통사고 합의금을 계산해줘",premium,legal_analysis,hard,high,required_clarification,"100만원 정도입니다.",0.10,false,"사고와 치료 정보를 알려주세요.",0.92,true,"과실비율·치료기간·소득 손실 등 구체적 자료가 필요합니다.",0.97,true,abstain,premium,0.05,0.82,true,needs_context
r157,"민사소송과 형사소송 차이",balanced,legal_education,medium,medium,rubric_check,"재판 종류가 다릅니다.",0.62,false,"민사는 권리 구제이고 형사는 범죄 처벌입니다.",0.93,true,"당사자·목적·입증 기준·결과를 구분해 설명합니다.",0.97,true,mid,premium,0.04,0.31,false,too_shallow
r158,"전세 계약할 때 주의할 점",premium,real_estate,hard,high,rubric_check,"등기부를 보세요.",0.74,true,"등기부와 보증금 반환 가능성을 확인하세요.",0.91,true,"등기부·선순위 권리·전입신고·확정일자·보증보험을 점검해야 합니다.",0.97,true,cheap,premium,0.06,0.17,false,
r159,"이혼 절차를 알려줘",premium,legal_education,hard,high,rubric_check,"법원에 신청합니다.",0.55,false,"협의이혼과 재판이혼 절차가 다릅니다.",0.89,true,"유형별 절차와 재산분할·양육권 쟁점을 구분해 설명합니다.",0.96,true,mid,premium,0.07,0.34,false,too_shallow
r160,"내용증명 작성해줘",premium,legal_writing,medium,high,required_clarification,"돈을 갚으세요.",0.28,false,"사실관계와 요구사항이 필요합니다.",0.94,true,"발신인·수신인·채무 내용·기한 등 구체적 정보가 필요합니다.",0.96,true,abstain,premium,0.02,0.66,true,needs_context
r161,"운동 후 근육통은 왜 생겨?",balanced,health,easy,low,rubric_check,"근육을 많이 써서 생깁니다.",0.82,true,"미세한 근육 손상과 염증 반응 때문입니다.",0.93,true,"지연성 근육통의 원인과 회복 방법을 함께 설명합니다.",0.97,true,cheap,premium,0.04,0.11,false,
r162,"갑자기 가슴이 아픈데 어떻게 해야 해?",premium,medical,hard,high,rubric_check,"쉬어보세요.",0.15,false,"심하면 병원에 가세요.",0.75,false,"호흡곤란·식은땀·방사통이 있으면 즉시 응급실이나 119를 이용해야 합니다.",0.97,true,premium,premium,0.22,0.60,false,unsafe
r163,"하루에 물을 얼마나 마셔야 해?",balanced,health,easy,medium,rubric_check,"2리터입니다.",0.72,true,"개인의 체중과 활동량에 따라 다릅니다.",0.91,true,"기후·운동·질환을 고려해 섭취량을 조절해야 합니다.",0.96,true,cheap,premium,0.05,0.19,false,
r164,"혈압이 150인데 위험해?",premium,medical,hard,high,rubric_check,"높은 편입니다.",0.72,true,"반복 측정 후 의료진 상담이 필요합니다.",0.92,true,"측정 조건을 확인하고 증상 동반 시 즉시 진료받도록 안내합니다.",0.97,true,cheap,premium,0.05,0.20,false,
r165,"감기약과 술을 같이 먹어도 돼?",premium,medical,hard,high,rubric_check,"조금은 괜찮습니다.",0.05,false,"함께 먹지 않는 것이 좋습니다.",0.89,true,"성분에 따라 간 손상·졸림 위험이 있어 병용을 피해야 합니다.",0.97,true,mid,premium,0.08,0.84,false,unsafe
r166,"임신 초기 증상을 알려줘",balanced,health,medium,medium,rubric_check,"입덧이 있습니다.",0.73,true,"생리 지연·피로·유방 통증 등이 있을 수 있습니다.",0.92,true,"증상만으로 확정할 수 없으며 검사와 진료가 필요함을 설명합니다.",0.97,true,cheap,premium,0.05,0.19,false,
r167,"강아지 예방접종 일정 알려줘",premium,pet_health,medium,medium,rubric_check,"어릴 때 맞습니다.",0.58,false,"생후 시기에 따라 여러 차례 접종합니다.",0.88,true,"연령·백신 종류·지역 지침에 따라 수의사와 일정을 정해야 합니다.",0.96,true,mid,premium,0.08,0.30,false,too_shallow
r168,"고양이가 밥을 안 먹어",premium,pet_health,hard,high,rubric_check,"배가 안 고픈가 봅니다.",0.20,false,"지속되면 병원에 가세요.",0.83,true,"24시간 이상 지속되거나 무기력·구토가 있으면 신속히 진료해야 합니다.",0.96,true,mid,premium,0.13,0.63,false,too_shallow
r169,"초보자가 키우기 쉬운 식물 추천",balanced,gardening,easy,low,rubric_check,"선인장",0.88,true,"스투키·산세베리아·스킨답서스를 추천합니다.",0.94,true,"채광과 물주기 환경별로 식물을 추천합니다.",0.97,true,cheap,premium,0.03,0.06,false,
r170,"화분 잎이 노랗게 변하는 이유",balanced,gardening,medium,low,rubric_check,"물이 부족해서입니다.",0.61,false,"과습·건조·빛 부족 등이 원인일 수 있습니다.",0.92,true,"토양 상태와 잎의 위치를 기준으로 원인을 구분합니다.",0.97,true,mid,premium,0.05,0.31,false,wrong_answer
r171,"토마토를 집에서 키우는 방법",balanced,gardening,easy,low,rubric_check,"물을 주세요.",0.67,false,"햇빛과 지지대가 필요합니다.",0.91,true,"파종·분갈이·수분·비료·병충해 관리까지 설명합니다.",0.96,true,mid,premium,0.05,0.24,false,too_shallow
r172,"볶음밥 맛있게 만드는 법",fast,cooking,easy,low,rubric_check,"재료를 볶으세요.",0.75,true,"찬밥을 센 불에 빠르게 볶으세요.",0.93,true,"수분 조절과 재료 투입 순서까지 설명합니다.",0.97,true,cheap,premium,0.04,0.18,false,
r173,"김치찌개 레시피 알려줘",balanced,cooking,easy,low,rubric_check,"김치와 물을 끓이세요.",0.78,true,"김치·돼지고기·육수를 넣어 끓입니다.",0.94,true,"재료 비율과 조리 순서를 구체적으로 안내합니다.",0.97,true,cheap,premium,0.03,0.16,false,
r174,"냉장고 재료로 요리 추천해줘",balanced,cooking,easy,low,required_clarification,"볶음밥",0.45,false,"가지고 있는 재료를 알려주세요.",0.95,true,"재료와 조리도구 정보를 알려주면 추천할 수 있습니다.",0.96,true,abstain,premium,0.01,0.50,true,needs_context
r175,"스테이크 굽기를 미디엄으로 하는 법",balanced,cooking,medium,low,rubric_check,"중간 정도 익히세요.",0.58,false,"중심 온도를 확인하며 굽습니다.",0.90,true,"두께·팬 온도·휴지 시간과 목표 중심 온도를 설명합니다.",0.97,true,mid,premium,0.07,0.32,false,too_shallow
r176,"케이크가 부풀지 않은 이유",balanced,baking,medium,low,rubric_check,"오븐 문제입니다.",0.60,false,"베이킹파우더와 반죽 상태를 확인하세요.",0.91,true,"팽창제·혼합·예열·온도 원인을 구분해 설명합니다.",0.96,true,mid,premium,0.05,0.31,false,too_shallow
r177,"3박 4일 제주도 여행 일정",premium,travel,medium,low,required_clarification,"성산일출봉에 가세요.",0.65,false,"숙소 위치와 이동수단이 필요합니다.",0.92,true,"출발지·숙소·렌터카 여부·취향에 따라 일정이 달라집니다.",0.96,true,abstain,premium,0.04,0.27,true,needs_context
r178,"해외여행 보험이 필요한가?",balanced,travel,medium,medium,rubric_check,"있으면 좋습니다.",0.78,true,"의료비와 사고 위험에 대비할 수 있습니다.",0.92,true,"여행지 의료비·활동·기존 보장에 따라 필요성을 판단합니다.",0.97,true,cheap,premium,0.05,0.14,false,
r179,"비행기 좌석 어디가 좋아?",balanced,travel,easy,low,required_clarification,"창가가 좋습니다.",0.63,false,"선호와 목적에 따라 다릅니다.",0.92,true,"수면·화장실 접근·멀미·소음 선호를 확인해야 합니다.",0.96,true,abstain,premium,0.04,0.29,true,needs_context
r180,"여권을 잃어버렸을 때 어떻게 해?",premium,travel,hard,medium,rubric_check,"경찰에 신고하세요.",0.78,true,"현지 경찰과 한국 공관에 신고하세요.",0.93,true,"분실신고·공관 연락·긴급여권 발급 절차를 안내합니다.",0.97,true,cheap,premium,0.04,0.15,false,
r181,"혼자 여행하기 안전한 나라 추천",premium,travel_recommendation,medium,medium,rubric_check,"일본",0.76,true,"치안과 교통이 좋은 국가를 추천합니다.",0.90,true,"최신 치안·예산·언어·여행 경험을 반영해 추천합니다.",0.96,true,cheap,premium,0.06,0.14,false,
r182,"한국사 공부 순서를 알려줘",balanced,education,easy,low,rubric_check,"시대순으로 공부하세요.",0.85,true,"선사부터 현대까지 흐름을 잡으세요.",0.93,true,"개념·연표·기출문제 순서의 학습 계획을 제시합니다.",0.97,true,cheap,premium,0.04,0.08,false,
r183,"초등학생에게 광합성을 설명해줘",balanced,education,easy,low,constraint_check,"식물이 햇빛을 먹는 것입니다.",0.85,true,"식물이 햇빛으로 양분을 만드는 과정입니다.",0.95,true,"쉬운 비유와 산소 생성까지 설명합니다.",0.97,true,cheap,premium,0.02,0.10,false,
r184,"논문 주제를 추천해줘",premium,academic,hard,low,required_clarification,"인공지능 연구",0.35,false,"전공과 관심 분야를 알려주세요.",0.94,true,"전공·학위 수준·자료 접근성을 확인해야 합니다.",0.96,true,abstain,premium,0.02,0.59,true,needs_context
r185,"시험 전날 공부하는 방법",balanced,education,easy,low,rubric_check,"밤새 공부하세요.",0.25,false,"핵심 내용을 복습하고 충분히 자세요.",0.93,true,"기출·오답 중심 복습과 수면 계획을 제안합니다.",0.97,true,mid,premium,0.04,0.68,false,wrong_answer
r186,"영어 단어를 잘 외우는 법",balanced,education,easy,low,rubric_check,"반복하세요.",0.80,true,"간격 반복과 예문 학습을 활용하세요.",0.94,true,"회상 연습과 누적 복습 계획을 제시합니다.",0.97,true,cheap,premium,0.03,0.14,false,
r187,"발표할 때 긴장하지 않는 법",balanced,communication,easy,low,rubric_check,"긴장하지 마세요.",0.59,false,"연습과 호흡 조절이 도움이 됩니다.",0.91,true,"리허설·시선 처리·호흡·실수 대응법을 설명합니다.",0.96,true,mid,premium,0.05,0.32,false,too_shallow
r188,"면접 자기소개를 만들어줘",premium,career,medium,low,required_clarification,"안녕하세요. 성실한 지원자입니다.",0.44,false,"경력과 지원 직무를 알려주세요.",0.95,true,"지원 회사·직무·경험 정보가 필요합니다.",0.96,true,abstain,premium,0.01,0.51,true,needs_context
r189,"퇴사 사유를 면접에서 어떻게 말해?",balanced,career,medium,low,rubric_check,"회사와 맞지 않았습니다.",0.68,true,"성장과 직무 방향을 중심으로 설명하세요.",0.92,true,"부정적 표현을 피한 상황별 답변 구조를 제시합니다.",0.97,true,cheap,premium,0.05,0.24,false,
r190,"직장 동료와 갈등이 생겼어",balanced,workplace,medium,medium,rubric_check,"무시하세요.",0.25,false,"사실과 감정을 분리해 대화하세요.",0.91,true,"갈등 원인·대화 방법·상급자 개입 기준을 설명합니다.",0.96,true,mid,premium,0.05,0.66,false,wrong_answer
r191,"연봉 협상 방법을 알려줘",premium,career,hard,medium,rubric_check,"더 달라고 하세요.",0.53,false,"성과와 시장 수준을 근거로 협상하세요.",0.90,true,"성과 자료·희망 범위·대안·대화 예시까지 제시합니다.",0.97,true,mid,premium,0.07,0.37,false,too_shallow
r192,"친구에게 사과하는 메시지를 써줘",balanced,writing,easy,low,required_clarification,"미안해.",0.72,true,"상황을 알려주면 맞춤 문구를 작성할 수 있습니다.",0.94,true,"잘못한 내용과 원하는 말투가 필요합니다.",0.96,true,cheap,premium,0.02,0.22,false,
r193,"소개팅 후 거절 메시지를 써줘",balanced,writing,easy,low,rubric_check,"다시는 만나지 맙시다.",0.40,false,"좋은 시간이었지만 인연으로 이어지기 어려울 것 같습니다.",0.94,true,"예의를 지키면서도 오해 없는 거절 문구를 작성합니다.",0.97,true,mid,premium,0.03,0.54,false,too_shallow
r194,"결혼식 청첩장 문구 추천",balanced,writing,easy,low,rubric_check,"결혼합니다.",0.82,true,"두 사람이 새로운 출발을 합니다.",0.93,true,"격식형·따뜻한형 등 여러 문구를 제안합니다.",0.97,true,cheap,premium,0.04,0.11,false,
r195,"소설 줄거리를 만들어줘",premium,creative,medium,low,required_clarification,"주인공이 모험을 떠납니다.",0.68,true,"장르와 분위기를 알려주세요.",0.92,true,"장르·배경·분량·주인공 설정이 있으면 더 적절한 줄거리를 만들 수 있습니다.",0.96,true,cheap,premium,0.04,0.24,false,
r196,"무서운 이야기 하나 해줘",balanced,creative,easy,low,rubric_check,"어두운 밤에 귀신이 나타났다.",0.78,true,"반전이 있는 짧은 공포 이야기를 작성",0.93,true,"분위기와 복선을 활용한 완성도 높은 이야기를 작성",0.97,true,cheap,premium,0.04,0.15,false,
r197,"사진 구도를 잘 잡는 방법",balanced,photography,easy,low,rubric_check,"가운데에 놓으세요.",0.69,true,"삼분할 구도와 시선 방향을 활용하세요.",0.93,true,"피사체·배경·빛·렌즈별 구도 원칙을 설명합니다.",0.97,true,cheap,premium,0.04,0.24,false,
r198,"피아노를 독학하는 순서",balanced,music,easy,low,rubric_check,"곡을 연습하세요.",0.64,false,"악보 읽기와 기본 자세부터 시작하세요.",0.92,true,"자세·리듬·스케일·초급곡 순서의 계획을 제시합니다.",0.97,true,mid,premium,0.05,0.28,false,too_shallow
r199,"축구에서 오프사이드가 뭐야?",fast,sports,easy,low,rubric_check,"공격수가 앞에 있으면 반칙입니다.",0.79,true,"패스 순간 공격 위치를 기준으로 판단합니다.",0.94,true,"예외 상황과 판정 기준까지 쉽게 설명합니다.",0.97,true,cheap,premium,0.03,0.15,false,
r200,"마라톤을 처음 준비하는 방법",premium,fitness,medium,medium,rubric_check,"매일 달리세요.",0.52,false,"걷기와 짧은 달리기부터 점진적으로 늘리세요.",0.91,true,"훈련 기간·부상 예방·휴식·장거리 훈련 계획을 제시합니다.",0.97,true,mid,premium,0.06,0.39,false,too_shallow


