prompt_id,prompt,domain,task_type,benchmark_id,model_id,model_output,quality_score,cost
p031,CesiumJS 엔지니어링 관점에서 3D Tiles의 지형 고도(Terrain) 고정 방식을 한 문장으로 설명해줘.,tech,qa,basic_qa,premium,"Cesium 공간 연산 엔진 내에서 3D Tileset 레이어의 물리 고도는 Quantized-Mesh 지형 파일의 레이캐스팅 고도 벡터 정보와 동기화되며, `sampleTerrainMostDetailed` 비동기 API 또는 엔티티의 래핑 클램핑 프로퍼티를 통해 정밀 유효 고도가 정렬됩니다.",0.96,0.2
p032,웹소켓(WebSocket) 연결이 빈번히 끊기는 환경에서 유실 없는 데이터 재전송 보장 메커니즘을 설계해줘.,tech,complex_design,architecture_hard,cheap,끊기면 다시 커넥션을 맺고 메시지를 보내는 코드를 만듭니다.,0.39,0.01
p032,웹소켓(WebSocket) 연결이 빈번히 끊기는 환경에서 유실 없는 데이터 재전송 보장 메커니즘을 설계해줘.,tech,complex_design,architecture_hard,mid,"클라이언트 단에 지수 백오프(Exponential Backoff) 기반 재연결 로직을 구현하고, 인메모리 큐를 두어 미전송된 메시지를 담았다가 웹소켓이 재오픈되는 시점에 한 번에 발행(Flush)합니다.",0.78,0.05
p032,웹소켓(WebSocket) 연결이 빈번히 끊기는 환경에서 유실 없는 데이터 재전송 보장 메커니즘을 설계해줘.,tech,complex_design,architecture_hard,premium,"시퀀스 넘버(Sequence Number) 기반의 클라이언트-서버 간 ACK 응답 프로토콜을 구현하고, 재연결 세션 시 인메모리 링버퍼(Ring Buffer)에서 미확인된 메시지를 추적하여 지수 백오프 전략에 따라 재전송하며, 클라이언트 로컬 스토리지에 오프라인 이벤트 로그 스토어를 두어 네트워크 단절 장기화 시 브라우저 크래시와 데이터 유실을 방어하는 복합 아키텍처를 설계합니다.",0.95,0.2
p033,리액트 19(React 19)에 도입된 Server Actions의 핵심 개념과 이점을 한 문장으로 요약해줘.,tech,qa,basic_qa,cheap,클라이언트 컴포넌트에서 서버 함수를 직접 불러와 실행하는 새로운 데이터 통신 방식입니다.,0.88,0.01
p033,리액트 19(React 19)에 도입된 Server Actions의 핵심 개념과 이점을 한 문장으로 요약해줘.,tech,qa,basic_qa,mid,Server Actions는 별도의 백엔드 API 엔드포인트를 개설하지 않고도 비동기 RPC 함수를 정의해 폼 제출 및 클라이언트 상태 업데이트를 서버 측에서 직접 실행하도록 돕는 기능입니다.,0.94,0.05
p033,리액트 19(React 19)에 도입된 Server Actions의 핵심 개념과 이점을 한 문장으로 요약해줘.,tech,qa,basic_qa,premium,"React 19의 Server Actions는 클라이언트-서버 경계를 제거한 네트워크 단일화 RPC 아키텍처로, 폼 바인딩과 유효성 검사, 낙관적 업데이트(useOptimistic)와의 원활한 결합을 통해 네트워크 오버헤드와 보일러플레이트 코드를 근본적으로 줄여줍니다.",0.96,0.2
p034,이진 검색 트리(Binary Search Tree)가 한쪽으로 편향되었을 때의 문제점과 해결책을 설명해줘.,math,reasoning,comparison_medium,cheap,노드가 한 줄로 늘어서면 탐색 속도가 느려지므로 균형 잡힌 트리로 바꿔야 합니다.,0.65,0.01
p034,이진 검색 트리(Binary Search Tree)가 한쪽으로 편향되었을 때의 문제점과 해결책을 설명해줘.,math,reasoning,comparison_medium,mid,트리가 한쪽으로 쏠리면 최악의 경우 검색 시간 복잡도가 $O(\log N)$에서 $O(N)$으로 악화되어 연결 리스트와 다름없어집니다. 이를 방지하기 위해 AVL 트리나 레드-블랙 트리(Red-Black Tree) 같은 자가 균형 트리 알고리즘을 사용합니다.,0.92,0.05
p034,이진 검색 트리(Binary Search Tree)가 한쪽으로 편향되었을 때의 문제점과 해결책을 설명해줘.,math,reasoning,comparison_medium,premium,"데이터가 정렬된 순서대로 삽입될 때 BST는 편향 트리(Skewed Tree)로 퇴화하여 최악의 조회 연산 성능인 $O(N)$을 유발합니다. 이를 아키텍처적으로 개선하기 위해 삽입 및 삭제 연산 시 노드의 balance factor를 검사하고 트리 회전(Rotation) 연산을 수행하여 서브트리의 높이 균형을 $O(\log N)$으로 강제 조율하는 자가 균형 이진 탐색 알고리즘(AVL, RB-Tree)을 도입해야 합니다.",0.97,0.2
p035,산림 디지털 트윈 환경에서 개별 나무(단목)의 수고(높이) 및 흉고직경 데이터를 추출하는 알고리즘 프로세스를 작성해줘.,tech,complex_design,architecture_hard,cheap,드론으로 찍은 포인트 클라우드에서 나무 꼭대기와 아래를 재서 높이를 구합니다.,0.32,0.01
p035,산림 디지털 트윈 환경에서 개별 나무(단목)의 수고(높이) 및 흉고직경 데이터를 추출하는 알고리즘 프로세스를 작성해줘.,tech,complex_design,architecture_hard,mid,"LiDAR 점구름 데이터에서 지면(DTM)과 산림 표고(DSM)를 분리하여 수관고안내도(CHM)를 생성하고, 국지 최댓값 필터를 이용해 나무 꼭대기를 찾아 수고를 정한 뒤 1.2m 높이 단면에서 점들을 피팅하여 흉고직경을 산출합니다.",0.74,0.05
p035,산림 디지털 트윈 환경에서 개별 나무(단목)의 수고(높이) 및 흉고직경 데이터를 추출하는 알고리즘 프로세스를 작성해줘.,tech,complex_design,architecture_hard,premium,"항공/지상형 LiDAR 로우 데이터를 기하 보정 후 CSF(Cloth Simulation Filter) 알고리즘을 적용해 지면 포인트와 식생 포인트를 분리합니다. 지면 제거 후 CHM(Canopy Height Model) 상에서 임목 영역 분할 알고리즘(Watershed 또는 Region Growing)으로 단목을 개별 세그멘테이션하고, 각 세그먼트의 최상단 z값 차이로 수고를 추출하며, 지면으로부터 대략 1.2~1.3m 높이 레이어의 포인트 클라우드 단면 분포를 RANSAC 알고리즘 원형 피팅으로 추정하여 흉고직경(DBH)을 수학적으로 산출하는 아키텍처 파이프라인을 구축합니다.",0.96,0.2
p036,회사의 오픈소스 컴포넌트를 사내 사설 npm 저장소에 배포하기 위해 필요한 CI/CD 파이프라인 단계를 작성해줘.,tech,code_generation,coding_easy,cheap,코드 빌드하고 npm publish 명령어로 패키지를 저장소에 올립니다.,0.75,0.01
p036,회사의 오픈소스 컴포넌트를 사내 사설 npm 저장소에 배포하기 위해 필요한 CI/CD 파이프라인 단계를 작성해줘.,tech,code_generation,coding_easy,mid,"Git에 태그나 푸시가 감지되면 1) 린트 및 테스트 실행, 2) 빌드 도구로 컴포넌트 번들링, 3) `.npmrc` 파일에 사설 레지스트리 토큰 바인딩 후 `npm publish`를 자동 실행하는 파이프라인을 구성합니다.",0.9,0.05
p036,회사의 오픈소스 컴포넌트를 사내 사설 npm 저장소에 배포하기 위해 필요한 CI/CD 파이프라인 단계를 작성해줘.,tech,code_generation,coding_easy,premium,"GitHub Actions 또는 GitLab CI에서 checkout, dependency install, lint, test, build, version validation, .npmrc registry token injection, npm publish, release note generation 순서로 구성하고, 배포 토큰은 CI secret으로 관리하며 태그 또는 main 브랜치 머지 조건에서만 publish되도록 제한합니다.",0.96,0.2
e001,2 + 3의 값만 숫자로 답해줘.,math,exact_match,cheap_exact,cheap,5,1.0,0.01
e001,2 + 3의 값만 숫자로 답해줘.,math,exact_match,cheap_exact,mid,5,1.0,0.05
e001,2 + 3의 값만 숫자로 답해줘.,math,exact_match,cheap_exact,premium,5입니다.,0.0,0.2
e002,대한민국의 수도를 한 단어로 답해줘.,fact,exact_match,cheap_exact,cheap,서울,1.0,0.01
e002,대한민국의 수도를 한 단어로 답해줘.,fact,exact_match,cheap_exact,mid,서울,1.0,0.05
e002,대한민국의 수도를 한 단어로 답해줘.,fact,exact_match,cheap_exact,premium,서울입니다.,0.0,0.2
e003,문자열 'abc'를 대문자로 변환해줘.,string,exact_match,cheap_exact,cheap,ABC,1.0,0.01
e003,문자열 'abc'를 대문자로 변환해줘.,string,exact_match,cheap_exact,mid,ABC,1.0,0.05
e003,문자열 'abc'를 대문자로 변환해줘.,string,exact_match,cheap_exact,premium,'abc'를 대문자로 변환하면 ABC입니다.,0.0,0.2
e004,"다음 중 짝수를 고르세요: 3, 7, 10, 15",math,exact_match,cheap_exact,cheap,10,1.0,0.01
e004,"다음 중 짝수를 고르세요: 3, 7, 10, 15",math,exact_match,cheap_exact,mid,10,1.0,0.05
e004,"다음 중 짝수를 고르세요: 3, 7, 10, 15",math,exact_match,cheap_exact,premium,짝수는 10입니다.,0.0,0.2
e005,다음 문자열의 앞뒤 공백을 제거해줘: '  hello  ',string,exact_match,cheap_exact,cheap,hello,1.0,0.01
e005,다음 문자열의 앞뒤 공백을 제거해줘: '  hello  ',string,exact_match,cheap_exact,mid,hello,1.0,0.05
e005,다음 문자열의 앞뒤 공백을 제거해줘: '  hello  ',string,exact_match,cheap_exact,premium,hello,1.0,0.2
e006,"두 숫자를 더해 반환하는 파이썬 함수 add(a, b)를 작성해줘.",tech,unit_test,cheap_code,cheap,"def add(a, b): return a + b",1.0,0.01
e006,"두 숫자를 더해 반환하는 파이썬 함수 add(a, b)를 작성해줘.",tech,unit_test,cheap_code,mid,"def add(a, b):\n    return a + b",1.0,0.05
e006,"두 숫자를 더해 반환하는 파이썬 함수 add(a, b)를 작성해줘.",tech,unit_test,cheap_code,premium,"def add(a, b):\n    if not isinstance(a, (int, float)) or not isinstance(b, (int, float)):\n        raise TypeError('numbers required')\n    return a + b",1.0,0.2
e101,"정수 n을 입력받아 0 이상이면 n번째 피보나치 수를 반복문으로 반환하고, 음수면 ValueError를 발생시키는 파이썬 함수 fibonacci(n)를 작성해줘.",tech,unit_test,mid_code,cheap,def fibonacci(n): return n if n < 2 else fibonacci(n-1) + fibonacci(n-2),0.4,0.01
e101,"정수 n을 입력받아 0 이상이면 n번째 피보나치 수를 반복문으로 반환하고, 음수면 ValueError를 발생시키는 파이썬 함수 fibonacci(n)를 작성해줘.",tech,unit_test,mid_code,mid,"def fibonacci(n):\n    if n < 0:\n        raise ValueError('n must be non-negative')\n    a, b = 0, 1\n    for _ in range(n):\n        a, b = b, a + b\n    return a",1.0,0.05
e101,"정수 n을 입력받아 0 이상이면 n번째 피보나치 수를 반복문으로 반환하고, 음수면 ValueError를 발생시키는 파이썬 함수 fibonacci(n)를 작성해줘.",tech,unit_test,mid_code,premium,"def fibonacci(n):\n    if n < 0:\n        raise ValueError('n must be non-negative')\n    a, b = 0, 1\n    for _ in range(n):\n        a, b = b, a + b\n    return a",1.0,0.2
e102,"다음 내용을 정확히 2개의 불릿으로 요약해줘. 첫 번째 불릿에는 출시 연기 기간과 이유를, 두 번째 불릿에는 담당 팀과 다음 조치를 포함해야 한다: 결제 장애로 출시가 3주 연기되었고, 플랫폼 팀은 환불 로직을 수정한 뒤 회귀 테스트를 수행한다.",business,constraint_check,mid_summary,cheap,- 출시가 연기되었습니다.\n- 팀이 테스트합니다.,0.35,0.01
e102,"다음 내용을 정확히 2개의 불릿으로 요약해줘. 첫 번째 불릿에는 출시 연기 기간과 이유를, 두 번째 불릿에는 담당 팀과 다음 조치를 포함해야 한다: 결제 장애로 출시가 3주 연기되었고, 플랫폼 팀은 환불 로직을 수정한 뒤 회귀 테스트를 수행한다.",business,constraint_check,mid_summary,mid,- 결제 장애로 출시가 3주 연기되었습니다.\n- 플랫폼 팀은 환불 로직을 수정한 뒤 회귀 테스트를 수행합니다.,1.0,0.05
e102,"다음 내용을 정확히 2개의 불릿으로 요약해줘. 첫 번째 불릿에는 출시 연기 기간과 이유를, 두 번째 불릿에는 담당 팀과 다음 조치를 포함해야 한다: 결제 장애로 출시가 3주 연기되었고, 플랫폼 팀은 환불 로직을 수정한 뒤 회귀 테스트를 수행한다.",business,constraint_check,mid_summary,premium,- 결제 장애로 출시가 3주 연기되었습니다.\n- 플랫폼 팀은 환불 로직 수정 후 회귀 테스트를 수행합니다.,1.0,0.2
e103,"다음 CSV 문자열을 JSON 배열로 변환해줘. age는 숫자여야 한다. name,age Kim,30 Lee,25",data,exact_json,mid_transform,cheap,"[{""name"":""Kim"",""age"":""30""},{""name"":""Lee"",""age"":""25""}]",0.6,0.01
e103,"다음 CSV 문자열을 JSON 배열로 변환해줘. age는 숫자여야 한다. name,age Kim,30 Lee,25",data,exact_json,mid_transform,mid,"[{""name"":""Kim"",""age"":30},{""name"":""Lee"",""age"":25}]",1.0,0.05
e103,"다음 CSV 문자열을 JSON 배열로 변환해줘. age는 숫자여야 한다. name,age Kim,30 Lee,25",data,exact_json,mid_transform,premium,"[{""name"":""Kim"",""age"":30},{""name"":""Lee"",""age"":25}]",1.0,0.2
e201,"멀티테넌트 SaaS 결제 시스템을 설계해줘. 조건: 테넌트별 데이터 격리, Stripe 웹훅 중복 수신 멱등성, 사용량 기반 과금, 월말 청구서 생성, 결제 실패 재시도, 감사 로그, 개인정보와 결제 데이터 분리, 장애 시 재처리 가능성. 구성요소, 데이터 흐름, 핵심 테이블, 실패 시나리오, 보안 통제를 구분해 설명해줘.",tech,rubric_check,premium_architecture,cheap,"API 서버와 데이터베이스, 결제 API를 둡니다.",0.15,0.01
e201,"멀티테넌트 SaaS 결제 시스템을 설계해줘. 조건: 테넌트별 데이터 격리, Stripe 웹훅 중복 수신 멱등성, 사용량 기반 과금, 월말 청구서 생성, 결제 실패 재시도, 감사 로그, 개인정보와 결제 데이터 분리, 장애 시 재처리 가능성. 구성요소, 데이터 흐름, 핵심 테이블, 실패 시나리오, 보안 통제를 구분해 설명해줘.",tech,rubric_check,premium_architecture,mid,"구성요소는 API, 결제 서비스, 웹훅 처리기, DB입니다. 데이터 흐름은 사용량 집계 후 청구서를 만들고 결제 실패 시 재시도합니다. 감사 로그를 남깁니다.",0.55,0.05
e201,"멀티테넌트 SaaS 결제 시스템을 설계해줘. 조건: 테넌트별 데이터 격리, Stripe 웹훅 중복 수신 멱등성, 사용량 기반 과금, 월말 청구서 생성, 결제 실패 재시도, 감사 로그, 개인정보와 결제 데이터 분리, 장애 시 재처리 가능성. 구성요소, 데이터 흐름, 핵심 테이블, 실패 시나리오, 보안 통제를 구분해 설명해줘.",tech,rubric_check,premium_architecture,premium,"구성요소: tenant-aware API, billing service, usage aggregator, invoice service, Stripe webhook worker, retry scheduler, DLQ, audit logger, reconciliation job. 데이터 흐름: usage event 수집, tenant isolation 검증, 월말 invoice 생성, idempotency key로 webhook deduplication, 결제 실패 retry와 DLQ 재처리. 핵심 테이블: tenants, subscriptions, usage_events, invoices, payments, webhook_events, audit_logs, reconciliation_runs. 실패 시나리오: 중복 웹훅, 결제 실패, worker crash, 재처리 불일치. 보안 통제: PII separation, payment tokenization, tenant scoped access, audit log immutability.",1.0,0.2
e202,"WebSocket 이벤트 전송 시스템을 설계해줘. 네트워크 단절, 중복 전송, 메시지 순서 뒤바뀜, 브라우저 종료, 서버 재시작이 발생해도 이벤트를 유실하지 않아야 한다. exactly-once가 실제로 가능한지 구분하고 sequence number, ACK, 재전송, 영속 큐, 중복 제거, 순서 복구 방식을 포함해줘.",tech,rubric_check,premium_distributed,cheap,끊기면 다시 연결해서 보내면 됩니다.,0.1,0.01
e202,"WebSocket 이벤트 전송 시스템을 설계해줘. 네트워크 단절, 중복 전송, 메시지 순서 뒤바뀜, 브라우저 종료, 서버 재시작이 발생해도 이벤트를 유실하지 않아야 한다. exactly-once가 실제로 가능한지 구분하고 sequence number, ACK, 재전송, 영속 큐, 중복 제거, 순서 복구 방식을 포함해줘.",tech,rubric_check,premium_distributed,mid,sequence number와 ACK를 사용하고 재연결 시 미확인 메시지를 다시 보냅니다. 서버는 중복 ID를 저장해 중복을 제거합니다.,0.65,0.05
e202,"WebSocket 이벤트 전송 시스템을 설계해줘. 네트워크 단절, 중복 전송, 메시지 순서 뒤바뀜, 브라우저 종료, 서버 재시작이 발생해도 이벤트를 유실하지 않아야 한다. exactly-once가 실제로 가능한지 구분하고 sequence number, ACK, 재전송, 영속 큐, 중복 제거, 순서 복구 방식을 포함해줘.",tech,rubric_check,premium_distributed,premium,네트워크 수준 strict exactly-once는 보장하기 어렵고 at-least-once plus idempotent consumer로 설계해야 합니다. 클라이언트는 persistent outbox에 event_id와 sequence number를 저장하고 reconnect handshake에서 마지막 ACK를 교환합니다. ACK되지 않은 이벤트는 재전송하며 서버는 deduplication key를 durable store에 기록합니다. ordering window로 순서 복구를 수행하고 gap이 있으면 replay를 요청합니다. 브라우저 종료와 서버 재시작은 영속 큐와 checkpoint로 복구합니다.,1.0,0.2
e203,"TypeScript로 제한 동시성 비동기 작업 실행기 runWithConcurrency를 작성해줘. 입력은 (() => Promise<T>)[]와 concurrency이고, 반환값은 입력 순서대로 정렬되어야 한다. concurrency가 1 미만이면 오류를 발생시키고, 작업 하나가 실패하면 나머지 실행 중 작업은 마무리하되 새 작업은 시작하지 않고 첫 오류를 reject해야 한다. 빈 배열도 처리해야 한다.",tech,unit_test,premium_code,cheap,"async function runWithConcurrency(tasks, concurrency) { return Promise.all(tasks.map(t => t())); }",0.2,0.01
e203,"TypeScript로 제한 동시성 비동기 작업 실행기 runWithConcurrency를 작성해줘. 입력은 (() => Promise<T>)[]와 concurrency이고, 반환값은 입력 순서대로 정렬되어야 한다. concurrency가 1 미만이면 오류를 발생시키고, 작업 하나가 실패하면 나머지 실행 중 작업은 마무리하되 새 작업은 시작하지 않고 첫 오류를 reject해야 한다. 빈 배열도 처리해야 한다.",tech,unit_test,premium_code,mid,"async function runWithConcurrency(tasks, concurrency) { const results = []; let i = 0; async function worker(){ while(i < tasks.length){ const idx = i++; results[idx] = await tasks[idx](); }} await Promise.all(Array.from({length: concurrency}, worker)); return results; }",0.65,0.05
e203,"TypeScript로 제한 동시성 비동기 작업 실행기 runWithConcurrency를 작성해줘. 입력은 (() => Promise<T>)[]와 concurrency이고, 반환값은 입력 순서대로 정렬되어야 한다. concurrency가 1 미만이면 오류를 발생시키고, 작업 하나가 실패하면 나머지 실행 중 작업은 마무리하되 새 작업은 시작하지 않고 첫 오류를 reject해야 한다. 빈 배열도 처리해야 한다.",tech,unit_test,premium_code,premium,"async function runWithConcurrency<T>(tasks: Array<() => Promise<T>>, concurrency: number): Promise<T[]> { if (concurrency < 1) throw new Error('invalid concurrency'); if (tasks.length === 0) return []; const results: T[] = new Array(tasks.length); let next = 0; let firstError: unknown; async function worker() { while (firstError === undefined && next < tasks.length) { const index = next++; try { results[index] = await tasks[index](); } catch (err) { if (firstError === undefined) firstError = err; break; } } } const workers = Array.from({ length: Math.min(concurrency, tasks.length) }, worker); await Promise.allSettled(workers); if (firstError !== undefined) throw firstError; return results; }",1.0,0.2
e301,이 계약이 법적으로 유효한지 판단해줘.,legal,required_clarification,abstain_case,cheap,유효합니다.,0.0,0.01
e301,이 계약이 법적으로 유효한지 판단해줘.,legal,required_clarification,abstain_case,mid,계약 내용을 봐야 하지만 일반적으로 서명하면 유효합니다.,0.3,0.05
e301,이 계약이 법적으로 유효한지 판단해줘.,legal,required_clarification,abstain_case,premium,"계약서 내용과 관할 법률, 당사자 정보가 없으므로 법적 유효성을 판단할 수 없습니다. 계약 전문과 국가 또는 지역, 체결 상황을 제공해 주세요.",1.0,0.2
e302,다음 코드를 고쳐줘.,tech,required_clarification,abstain_case,cheap,코드를 수정했습니다.,0.0,0.01
e302,다음 코드를 고쳐줘.,tech,required_clarification,abstain_case,mid,어떤 오류인지 알려주시면 수정하겠습니다.,0.7,0.05
e302,다음 코드를 고쳐줘.,tech,required_clarification,abstain_case,premium,"수정할 코드가 제공되지 않았습니다. 문제가 발생하는 코드, 기대 동작, 실제 오류 메시지를 보내주시면 원인을 분석해 수정안을 제시하겠습니다.",1.0,0.2
e401,HTTP의 기본 포트 번호는?,tech,exact_match,contrast_pair,cheap,80,1.0,0.01
e401,HTTP의 기본 포트 번호는?,tech,exact_match,contrast_pair,mid,80,1.0,0.05
e401,HTTP의 기본 포트 번호는?,tech,exact_match,contrast_pair,premium,HTTP의 기본 포트 번호는 80입니다.,0.0,0.2
e402,이 계약의 면책 조항이 무효인지 판단해줘.,legal,required_clarification,contrast_pair,cheap,무효입니다.,0.0,0.01
e402,이 계약의 면책 조항이 무효인지 판단해줘.,legal,required_clarification,contrast_pair,mid,계약 조항을 봐야 정확히 판단할 수 있습니다.,0.7,0.05
e402,이 계약의 면책 조항이 무효인지 판단해줘.,legal,required_clarification,contrast_pair,premium,"면책 조항의 문구, 계약 전체 내용, 관할 법률, 당사자 관계가 없으므로 무효 여부를 단정할 수 없습니다. 조항 전문과 적용 국가 또는 지역을 제공해야 합니다.",1.0,0.2
e403,다음 문장에서 '사과'라는 단어가 몇 번 나오는지 숫자로 답해줘: 사과 사과 바나나 사과 포도 사과 바나나 사과,text,exact_match,contrast_pair,cheap,5,1.0,0.01
e403,다음 문장에서 '사과'라는 단어가 몇 번 나오는지 숫자로 답해줘: 사과 사과 바나나 사과 포도 사과 바나나 사과,text,exact_match,contrast_pair,mid,5,1.0,0.05
e403,다음 문장에서 '사과'라는 단어가 몇 번 나오는지 숫자로 답해줘: 사과 사과 바나나 사과 포도 사과 바나나 사과,text,exact_match,contrast_pair,premium,사과는 총 5번 나옵니다.,0.0,0.2
e404,이중지불을 막는 결제 멱등성 설계해줘.,tech,rubric_check,contrast_pair,cheap,요청을 한 번만 처리하면 됩니다.,0.2,0.01
e404,이중지불을 막는 결제 멱등성 설계해줘.,tech,rubric_check,contrast_pair,mid,idempotency key를 요청마다 받고 payments 테이블에 저장해 중복 요청이면 기존 결과를 반환합니다.,0.75,0.05
e404,이중지불을 막는 결제 멱등성 설계해줘.,tech,rubric_check,contrast_pair,premium,"클라이언트가 idempotency key를 생성하고 서버는 tenant_id, operation_type, key에 unique constraint를 둡니다. 최초 요청은 pending row를 만들고 provider charge id와 결과를 저장합니다. 재시도나 webhook 중복 수신은 같은 key와 provider event id로 deduplication하며, 트랜잭션 경계와 reconciliation job으로 pending stuck 상태를 복구합니다.",1.0,0.2
e501,"다음 긴 문단에서 ""사과""라는 단어가 몇 번 등장하는지만 숫자로 답해줘.

사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 ",general,numeric_count,expanded_cheap_long,cheap,160,1.0,0.01
e501,"다음 긴 문단에서 ""사과""라는 단어가 몇 번 등장하는지만 숫자로 답해줘.

사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 사과 바나나 포도 사과 귤 ",general,numeric_count,expanded_cheap_long,mid,160,1.0,0.05
